Sx00cos,Sx00sin,Sx01cos,Sx01sin,Sx02cos,Sx02sin,Sx03cos,Sx03sin,Sx04cos,Sx04sin,Sx05cos,Sx05sin,Sx06cos,Sx06sin,Sx07cos,Sx07sin,Sx08cos,Sx08sin,Sx09cos,Sx09sin,r,cos,sin,z
28.6,0,25.24133262,18.33889657,9.085106945,27.9610592,-9.888531885,30.4338124,-21.35804054,15.51754183,-27.8,0,-18.60740147,-13.51904621,-8.590696636,-26.43936329,9.394086394,-28.91212792,26.05032495,-18.92671577,1.8,1,0,36
29.4,0,25.24133262,18.33889657,9.332320739,28.72190435,-9.95033521,30.62402373,-21.51984388,15.63509896,-27.8,0,-18.60740147,-13.51904621,-8.837910928,-27.20020828,9.394086394,-28.91212792,26.21212821,-19.04427301,1.8,1,0,36
29.6,0,25.56493945,18.57401063,9.085106945,27.9610592,-9.826728561,30.24360107,-21.35804054,15.51754183,-28.4,0,-18.93100846,-13.75416006,-8.961518074,-27.58063077,9.146873594,-28.15128245,26.21212821,-19.04427301,1.8,1,0,36
29.2,0,25.88854628,18.80912469,9.27051729,28.53169307,-9.826728561,30.24360107,-21.84345055,15.87021323,-28.6,0,-18.93100846,-13.75416006,-9.08512522,-27.96105327,8.776054395,-27.01001424,25.56491517,-18.57404405,1.8,1,0,36
29.4,0,26.21215311,19.04423875,9.085106945,27.9610592,-9.764925237,30.05338974,-21.84345055,15.87021323,-28,0,-19.09281195,-13.87171698,-8.899714501,-27.39041953,8.837857595,-27.20022561,25.07950539,-18.22137233,1.8,1,0,36
29.2,0,26.85936676,19.51446687,9.085106945,27.9610592,-9.579515264,29.48275576,-21.51984388,15.63509896,-28.6,0,-18.76920496,-13.63660313,-8.899714501,-27.39041953,8.590644795,-26.43938014,24.43229235,-17.75114336,1.8,1,0,36
29,0,27.02117018,19.63202389,9.085106945,27.9610592,-9.394105291,28.91212178,-21.68164721,15.7526561,-28.4,0,-18.93100846,-13.75416006,-8.899714501,-27.39041953,8.590644795,-26.43938014,24.27048909,-17.63358612,1.8,1,0,36
28.8,0,26.85936676,19.51446687,9.455927636,29.10232693,-9.641318588,29.67296709,-21.68164721,15.7526561,-28,0,-18.76920496,-13.63660313,-9.023321647,-27.77084202,8.776054395,-27.01001424,23.7850793,-17.2809144,1.8,1,0,36
29.2,0,26.85936676,19.51446687,9.27051729,28.53169307,-9.641318588,29.67296709,-21.35804054,15.51754183,-27.8,0,-19.09281195,-13.87171698,-9.208732366,-28.34147576,9.085070395,-27.96107108,23.7850793,-17.2809144,1.8,1,0,36
28.4,0,27.02117018,19.63202389,9.455927636,29.10232693,-9.394105291,28.91212178,-22.32886056,16.22288464,-28,0,-18.76920496,-13.63660313,-9.455946657,-29.10232075,9.146873594,-28.15128245,23.94688256,-17.39847164,1.8,1,0,36
