65.43,53.53,53.06,60.41,57.21,56.08,26.4,54.56,60.66,58.87,54.4,51.12,54.71,38.77,49.58,58.28,32.33,51.36,64.48,48.6,77.92,56.27,51.42,70.31,0.9,0,0,140
65.43,55.05,53.06,58.63,60.03,56.95,30.2,52.76,58.84,56.14,53.5,51.12,51.86,38.77,50.42,57.39,30.51,54.84,62.66,46.6,77.06,54.45,50.4,69.42,0.9,0,0,140
65.43,52.77,52.17,58.63,59.09,56.95,30.2,53.66,60.66,55.23,50.8,52.03,54.71,37.77,52.94,60.06,32.33,52.23,63.57,45.6,76.2,56.27,51.42,70.31,0.9,0,0,140
67.75,53.53,53.95,57.74,60.97,56.95,32.1,53.66,59.75,57.96,55.3,52.03,53.76,38.77,52.94,56.5,31.42,52.23,61.75,48.6,76.2,54.45,50.4,71.2,0.9,0,0,140
65.43,54.29,53.95,59.52,60.97,56.95,32.1,54.56,59.75,54.32,57.1,50.21,53.76,37.77,52.1,55.61,30.51,53.1,63.57,47.6,77.92,54.45,50.4,71.2,0.9,0,0,140
66.59,54.29,53.95,60.41,58.15,58.69,29.25,52.76,58.84,57.96,55.3,52.03,54.71,38.77,53.78,55.61,33.24,53.1,63.57,47.6,79.64,57.18,51.42,69.42,0.9,0,0,140
66.59,55.05,53.95,60.41,59.09,57.82,29.25,55.46,58.84,56.14,56.2,52.03,52.81,37.77,53.78,57.39,30.51,53.1,62.66,45.6,78.78,58.09,51.42,66.75,0.9,0,0,140
64.27,55.05,53.06,59.52,60.97,58.69,34,53.66,57.93,56.14,52.6,51.12,54.71,37.77,52.94,56.5,29.6,53.97,62.66,45.6,78.78,54.45,50.4,69.42,0.9,0,0,140
68.91,52.01,53.95,59.52,59.09,55.21,35.9,52.76,61.57,57.96,54.4,52.94,52.81,40.77,53.78,58.28,29.6,52.23,63.57,46.6,78.78,55.36,49.38,71.2,0.9,0,0,140
67.75,56.57,54.84,60.41,60.03,58.69,31.15,52.76,57.93,54.32,55.3,51.12,52.81,38.77,52.94,55.61,29.6,52.23,66.3,47.6,77.06,55.36,50.4,71.2,0.9,0,0,140
66.59,55.05,53.06,57.74,59.09,59.56,33.05,52.76,58.84,54.32,55.3,50.21,54.71,38.77,52.1,58.28,33.24,52.23,62.66,46.6,77.92,55.36,48.36,72.09,0.9,0,0,140
64.27,54.29,54.84,55.96,58.15,59.56,30.2,52.76,57.93,54.32,56.2,52.94,51.86,38.77,52.94,57.39,30.51,52.23,63.57,47.6,77.92,54.45,48.36,70.31,0.9,0,0,140
66.59,52.77,53.95,59.52,57.21,56.08,28.3,52.76,60.66,56.14,53.5,51.12,51.86,39.77,51.26,57.39,32.33,52.23,62.66,47.6,77.92,55.36,50.4,70.31,0.9,0,0,140
64.27,54.29,52.17,57.74,60.03,56.08,30.2,51.86,57.93,57.96,56.2,51.12,52.81,39.77,51.26,54.72,31.42,49.62,63.57,48.6,78.78,54.45,51.42,72.09,0.9,0,0,140
65.43,54.29,53.95,58.63,60.03,57.82,31.15,55.46,59.75,55.23,55.3,50.21,51.86,35.77,50.42,60.06,32.33,53.1,62.66,49.6,77.06,56.27,50.4,70.31,0.9,0,0,140
66.59,52.77,53.95,58.63,60.97,56.08,31.15,52.76,58.84,55.23,57.1,53.85,55.66,40.77,52.94,53.83,31.42,52.23,59.93,49.6,77.92,53.54,50.4,68.53,0.9,0,0,140
65.43,55.81,52.17,58.63,62.85,56.95,33.05,53.66,61.57,57.05,54.4,51.12,54.71,37.77,52.1,56.5,29.6,53.97,62.66,48.6,77.92,54.45,51.42,70.31,0.9,0,0,140
66.59,54.29,52.17,58.63,60.03,59.56,29.25,50.06,59.75,57.05,55.3,52.03,52.81,38.77,52.1,58.28,32.33,53.97,62.66,46.6,79.64,55.36,47.34,72.09,0.9,0,0,140
68.91,54.29,52.17,57.74,60.03,57.82,34,52.76,58.84,55.23,54.4,52.03,55.66,37.77,54.62,56.5,30.51,53.97,61.75,45.6,80.5,54.45,49.38,73.87,0.9,0,0,140
68.91,55.05,53.95,56.85,60.03,57.82,30.2,55.46,58.84,56.14,54.4,50.21,54.71,39.77,53.78,57.39,30.51,55.71,60.84,49.6,77.92,54.45,51.42,70.31,0.9,0,0,140
67.75,54.29,53.06,59.52,59.09,58.69,32.1,51.86,59.75,56.14,56.2,52.03,53.76,36.77,52.94,57.39,30.51,51.36,61.75,50.6,77.92,55.36,50.4,72.09,0.9,0,0,140
