Sx00,Sx01,Sx02,Sx03,Sx04,Sx05,Sx06,r,theta,z
36.95,46.51,55.44,56.02,33.97,71.28,63.43,0.6,359.96,0
37.8,48.72,53.37,58.88,32.98,76.89,58.13,0.6,359.96,0
36.95,45.4,54.41,59.84,38.93,68.47,60.25,0.6,359.96,0
38.65,47.62,56.48,57.93,34.96,71.28,59.19,0.6,359.96,0
37.8,49.83,54.41,57.93,32.98,71.28,59.19,0.6,359.96,0
38.65,54.26,54.41,57.93,35.95,67.06,58.13,0.6,359.96,0
36.11,49.83,53.37,56.98,26.04,71.28,62.37,0.6,359.96,0
35.26,46.51,54.41,59.84,33.97,68.47,61.31,0.6,359.96,0
35.26,46.51,56.48,56.98,35.95,72.68,60.25,0.6,359.96,0
38.65,50.94,55.44,57.93,37.94,71.28,60.25,0.6,359.96,0
39.5,47.62,52.33,56.98,38.93,68.47,57.07,0.6,359.96,0
36.95,42.08,54.41,55.07,41.9,68.47,59.19,0.6,359.96,0
38.65,53.15,54.41,57.93,41.9,69.87,58.13,0.6,359.96,0
36.11,50.94,54.41,58.88,36.94,69.87,56.01,0.6,359.96,0
36.11,46.51,54.41,56.02,31.99,74.08,57.07,0.6,359.96,0
37.8,45.4,57.51,56.98,39.92,69.87,61.31,0.6,359.96,0
38.65,47.62,54.41,57.93,39.92,72.68,58.13,0.6,359.96,0
37.8,44.3,55.44,57.93,37.94,69.87,58.13,0.6,359.96,0
36.95,48.72,57.51,55.07,32.98,72.68,57.07,0.6,359.96,0
37.8,52.04,53.37,57.93,39.92,74.08,57.07,0.6,359.96,0
38.65,48.72,51.3,56.98,35.95,69.87,62.37,0.6,359.96,0
39.5,48.72,53.37,59.84,33.97,71.28,59.19,0.6,359.96,0
36.95,49.83,55.44,56.02,34.96,68.47,60.25,0.6,359.96,0
37.8,45.4,52.33,58.88,27.03,68.47,58.13,0.6,359.96,0
36.95,50.94,56.48,58.88,31.99,69.87,61.31,0.6,359.96,0
36.95,47.62,56.48,56.02,42.89,72.68,58.13,0.6,359.96,0
36.95,45.4,53.37,56.98,33.97,72.68,60.25,0.6,359.96,0
37.8,48.72,52.33,56.98,42.89,67.06,60.25,0.6,359.96,0
36.11,46.51,51.3,55.07,41.9,69.87,58.13,0.6,359.96,0
36.95,48.72,54.41,58.88,38.93,69.87,57.07,0.6,359.96,0
39.5,45.4,54.41,57.93,40.91,67.06,58.13,0.6,359.96,0
38.65,44.3,55.44,56.98,38.93,69.87,58.13,0.6,359.96,0
36.11,47.62,52.33,55.07,40.91,69.87,59.19,0.6,359.96,0
38.65,48.72,51.3,58.88,40.91,72.68,56.01,0.6,359.96,0
37.8,50.94,51.3,58.88,37.94,75.49,59.19,0.6,359.96,0
38.65,48.72,52.33,59.84,36.94,75.49,60.25,0.6,359.96,0
38.65,44.3,55.44,56.02,33.97,69.87,59.19,0.6,359.96,0
37.8,44.3,51.3,56.98,48.84,74.08,58.13,0.6,359.96,0
36.11,52.04,51.3,56.02,41.9,78.3,60.25,0.6,359.96,0
36.95,49.83,54.41,57.93,50.82,67.06,59.19,0.6,359.96,0
37.8,45.4,54.41,57.93,43.88,72.68,61.31,0.6,359.96,0
36.95,50.94,54.41,55.07,44.87,68.47,60.25,0.6,359.96,0
34.41,49.83,52.33,56.02,46.85,74.08,58.13,0.6,359.96,0
36.95,49.83,53.37,56.98,35.95,72.68,63.43,0.6,359.96,0
36.11,46.51,50.26,58.88,39.92,74.08,60.25,0.6,359.96,0
37.8,48.72,52.33,56.98,46.85,67.06,61.31,0.6,359.96,0
37.8,50.94,53.37,55.07,37.94,68.47,60.25,0.6,359.96,0
36.95,53.15,53.37,56.02,44.87,65.66,59.19,0.6,359.96,0
36.11,56.47,52.33,58.88,39.92,69.87,58.13,0.6,359.96,0
36.11,49.83,54.41,56.02,40.91,72.68,58.13,0.6,359.96,0
40.35,47.62,53.37,58.88,40.91,71.28,60.25,0.6,359.96,0
36.11,46.51,54.41,56.98,41.9,71.28,60.25,0.6,359.96,0
38.65,57.58,53.37,56.02,40.91,69.87,60.25,0.6,359.96,0
37.8,53.15,54.41,59.84,43.88,74.08,57.07,0.6,359.96,0
36.95,49.83,54.41,58.88,43.88,72.68,58.13,0.6,359.96,0
37.8,47.62,53.37,58.88,39.92,72.68,60.25,0.6,359.96,0
36.95,50.94,50.26,55.07,40.91,75.49,59.19,0.6,359.96,0
35.26,45.4,52.33,57.93,42.89,69.87,60.25,0.6,359.96,0
36.95,52.04,56.48,60.79,41.9,72.68,60.25,0.6,359.96,0
39.5,48.72,52.33,55.07,44.87,69.87,59.19,0.6,359.96,0
38.65,55.37,55.44,55.07,40.91,76.89,59.19,0.6,359.96,0
36.95,53.15,55.44,56.98,44.87,72.68,59.19,0.6,359.96,0
36.11,55.37,54.41,57.93,41.9,76.89,62.37,0.6,359.96,0
36.11,52.04,51.3,56.98,43.88,68.47,59.19,0.6,359.96,0
36.11,47.62,52.33,57.93,48.84,72.68,59.19,0.6,359.96,0
37.8,56.47,53.37,56.02,42.89,69.87,58.13,0.6,359.96,0
36.95,47.62,51.3,56.02,42.89,65.66,59.19,0.6,359.96,0
36.95,52.04,52.33,61.75,43.88,74.08,59.19,0.6,359.96,0
37.8,53.15,52.33,56.02,41.9,72.68,62.37,0.6,359.96,0
37.8,53.15,54.41,56.98,43.88,69.87,61.31,0.6,359.96,0
36.95,47.62,53.37,57.93,42.89,76.89,58.13,0.6,359.96,0
36.95,53.15,51.3,57.93,45.86,72.68,58.13,0.6,359.96,0
36.95,53.15,52.33,57.93,43.88,72.68,56.01,0.6,359.96,0
36.95,57.58,57.51,58.88,41.9,71.28,57.07,0.6,359.96,0
36.11,50.94,53.37,55.07,47.84,69.87,60.25,0.6,359.96,0
39.5,53.15,52.33,57.93,44.87,69.87,60.25,0.6,359.96,0
36.95,49.83,52.33,56.98,51.81,75.49,58.13,0.6,359.96,0
38.65,53.15,53.37,54.11,44.87,69.87,61.31,0.6,359.96,0
36.95,53.15,50.26,56.02,40.91,75.49,57.07,0.6,359.96,0
36.95,57.58,52.33,56.02,50.82,69.87,60.25,0.6,359.96,0
36.95,50.94,52.33,55.07,43.88,68.47,59.19,0.6,359.96,0
33.56,52.04,51.3,56.98,49.83,71.28,59.19,0.8,359.96,0
36.95,50.94,57.51,59.84,45.86,71.28,61.31,0.8,359.96,0
33.56,54.26,53.37,60.79,51.81,69.87,60.25,0.8,359.96,0
37.8,49.83,55.44,56.98,43.88,69.87,59.19,0.8,359.96,0
37.8,48.72,51.3,58.88,48.84,72.68,60.25,0.8,359.96,0
36.11,52.04,56.48,55.07,52.8,69.87,60.25,0.8,359.96,0
36.11,52.04,54.41,55.07,48.84,71.28,59.19,0.8,359.96,0
36.11,50.94,56.48,56.02,46.85,72.68,62.37,0.8,359.96,0
36.11,50.94,56.48,59.84,45.86,69.87,59.19,0.8,359.96,0
36.11,49.83,53.37,57.93,49.83,72.68,59.19,0.8,359.96,0
36.11,53.15,49.23,58.88,49.83,74.08,62.37,0.8,359.96,0
36.95,50.94,52.33,55.07,49.83,76.89,59.19,0.8,359.96,0
36.95,49.83,53.37,56.98,56.76,72.68,60.25,0.8,359.96,0
37.8,53.15,52.33,56.98,45.86,69.87,60.25,0.8,359.96,0
36.11,52.04,56.48,55.07,46.85,74.08,58.13,0.8,359.96,0
34.41,52.04,47.15,55.07,46.85,72.68,59.19,0.8,359.96,0
33.56,54.26,51.3,58.88,43.88,74.08,59.19,0.8,359.96,0
36.95,53.15,55.44,56.02,53.79,71.28,58.13,0.8,359.96,0
36.95,50.94,50.26,56.02,51.81,69.87,57.07,0.8,359.96,0
35.26,53.15,49.23,56.98,45.86,71.28,58.13,0.8,359.96,0
35.26,54.26,53.37,56.02,52.8,71.28,58.13,0.8,359.96,0
36.95,53.15,52.33,54.11,54.78,72.68,58.13,0.8,359.96,0
33.56,53.15,48.19,56.98,46.85,72.68,60.25,0.8,359.96,0
36.11,50.94,51.3,56.98,48.84,69.87,57.07,0.8,359.96,0
36.95,54.26,52.33,58.88,48.84,69.87,57.07,0.8,359.96,0
36.95,56.47,53.37,59.84,53.79,68.47,60.25,0.8,359.96,0
34.41,50.94,53.37,57.93,48.84,71.28,56.01,0.8,359.96,0
37.8,53.15,50.26,56.02,50.82,72.68,61.31,0.8,359.96,0
37.8,55.37,51.3,58.88,53.79,69.87,60.25,0.8,359.96,0
35.26,53.15,52.33,56.98,53.79,68.47,59.19,0.8,359.96,0
36.11,48.72,55.44,56.98,57.76,69.87,62.37,0.8,359.96,0
36.11,52.04,53.37,58.88,52.8,69.87,58.13,0.8,359.96,0
36.11,55.37,53.37,56.02,50.82,71.28,61.31,0.8,359.96,0
36.95,54.26,51.3,57.93,52.8,68.47,59.19,0.8,359.96,0
36.11,53.15,52.33,59.84,53.79,65.66,61.31,0.8,359.96,0
37.8,48.72,49.23,59.84,53.79,65.66,59.19,0.8,359.96,0
36.11,49.83,52.33,57.93,51.81,69.87,58.13,0.8,359.96,0
36.11,53.15,49.23,58.88,51.81,65.66,59.19,0.8,359.96,0
36.11,50.94,53.37,58.88,47.84,72.68,59.19,0.8,359.96,0
35.26,55.37,53.37,56.02,46.85,71.28,60.25,0.8,359.96,0
34.41,52.04,51.3,58.88,50.82,69.87,60.25,0.8,359.96,0
36.95,53.15,52.33,57.93,46.85,68.47,60.25,0.8,359.96,0
36.95,52.04,51.3,56.98,53.79,74.08,60.25,0.8,359.96,0
38.65,55.37,50.26,58.88,50.82,71.28,61.31,0.8,359.96,0
34.41,54.26,51.3,56.98,53.79,71.28,62.37,0.8,359.96,0
34.41,52.04,54.41,58.88,53.79,68.47,60.25,0.8,359.96,0
34.41,52.04,49.23,57.93,56.76,68.47,60.25,0.8,359.96,0
34.41,54.26,49.23,57.93,47.84,72.68,56.01,0.8,359.96,0
36.11,55.37,51.3,57.93,55.77,69.87,58.13,0.8,359.96,0
36.11,54.26,51.3,56.98,55.77,69.87,60.25,0.8,359.96,0
36.11,50.94,49.23,57.93,51.81,71.28,60.25,0.8,359.96,0
37.8,50.94,51.3,59.84,52.8,69.87,60.25,0.8,359.96,0
35.26,49.83,53.37,59.84,49.83,68.47,61.31,0.8,359.96,0
37.8,52.04,52.33,56.98,58.75,72.68,59.19,0.8,359.96,0
36.11,55.37,50.26,56.98,53.79,69.87,58.13,0.8,359.96,0
37.8,56.47,51.3,58.88,60.73,68.47,60.25,0.8,359.96,0
36.11,54.26,53.37,54.11,54.78,68.47,56.01,0.8,359.96,0
34.41,54.26,53.37,59.84,55.77,69.87,60.25,0.8,359.96,0
36.11,52.04,53.37,56.02,54.78,68.47,60.25,0.8,359.96,0
36.11,54.26,50.26,56.98,56.76,72.68,60.25,0.8,359.96,0
36.11,54.26,51.3,56.02,52.8,69.87,58.13,0.8,359.96,0
33.56,55.37,51.3,56.02,59.74,71.28,56.01,0.8,359.96,0
32.71,49.83,53.37,57.93,54.78,71.28,57.07,0.8,359.96,0
35.26,52.04,52.33,53.16,52.8,69.87,59.19,0.8,359.96,0
36.95,53.15,51.3,58.88,57.76,67.06,60.25,0.8,359.96,0
36.11,57.58,53.37,58.88,53.79,69.87,59.19,0.8,359.96,0
35.26,54.26,51.3,56.98,57.76,69.87,58.13,0.8,359.96,0
35.26,53.15,49.23,56.98,51.81,71.28,62.37,0.8,359.96,0
35.26,49.83,53.37,56.02,56.76,74.08,60.25,0.8,359.96,0
35.26,54.26,52.33,56.98,60.73,69.87,59.19,0.8,359.96,0
36.11,53.15,51.3,60.79,54.78,72.68,59.19,0.8,359.96,0
36.95,54.26,49.23,56.02,52.8,71.28,61.31,0.8,359.96,0
35.26,54.26,53.37,56.98,53.79,71.28,60.25,0.8,359.96,0
36.95,56.47,50.26,56.98,57.76,72.68,58.13,0.8,359.96,0
34.41,55.37,51.3,56.98,64.69,71.28,60.25,0.8,359.96,0
35.26,54.26,51.3,57.93,55.77,69.87,60.25,0.8,359.96,0
33.56,55.37,50.26,56.02,48.84,74.08,60.25,0.8,359.96,0
34.41,55.37,51.3,56.98,56.76,71.28,57.07,0.8,359.96,0
35.26,55.37,52.33,57.93,54.78,69.87,57.07,0.8,359.96,0
35.26,54.26,51.3,57.93,54.78,72.68,58.13,0.8,359.96,0
35.26,54.26,51.3,57.93,59.74,75.49,57.07,1,359.96,0
36.11,55.37,54.41,52.21,55.77,71.28,60.25,1,359.96,0
36.11,55.37,52.33,58.88,61.72,72.68,59.19,1,359.96,0
33.56,53.15,55.44,58.88,56.76,72.68,58.13,1,359.96,0
35.26,55.37,53.37,58.88,61.72,71.28,58.13,1,359.96,0
34.41,57.58,55.44,58.88,54.78,71.28,57.07,1,359.96,0
34.41,58.69,50.26,59.84,56.76,71.28,57.07,1,359.96,0
35.26,52.04,52.33,58.88,57.76,68.47,58.13,1,359.96,0
33.56,53.15,53.37,56.02,58.75,69.87,62.37,1,0,0
36.95,52.04,52.33,58.88,59.74,75.49,58.13,1,0,0
34.41,53.15,57.51,58.88,63.7,71.28,59.19,1,0,0
35.26,54.26,53.37,59.84,56.76,72.68,58.13,1,0,0
36.11,53.15,54.41,56.02,56.76,69.87,59.19,1,0,0
34.41,54.26,58.55,58.88,58.75,69.87,59.19,1,0,0
36.11,55.37,54.41,56.02,57.76,74.08,59.19,1,0,0
35.26,55.37,57.51,57.93,57.76,69.87,60.25,1,0,0
35.26,53.15,55.44,57.93,62.71,68.47,59.19,1,0,0
34.41,52.04,55.44,57.93,61.72,74.08,58.13,1,0,0
36.11,55.37,51.3,58.88,59.74,71.28,60.25,1,0,0
35.26,49.83,52.33,58.88,62.71,71.28,59.19,1,0,0
35.26,53.15,51.3,56.02,61.72,71.28,60.25,1,0,0
36.11,55.37,55.44,58.88,65.68,72.68,60.25,1,0,0
34.41,54.26,54.41,59.84,58.75,71.28,58.13,1,0,0
36.11,57.58,52.33,55.07,57.76,71.28,59.19,1,0,0
34.41,56.47,52.33,58.88,59.74,75.49,58.13,1,0,0
35.26,53.15,53.37,57.93,58.75,74.08,58.13,1,0,0
36.11,54.26,53.37,59.84,62.71,71.28,60.25,1,0,0
34.41,53.15,54.41,56.02,56.76,71.28,58.13,1,0,0
34.41,60.9,50.26,54.11,59.74,72.68,62.37,1,0,0
33.56,55.37,53.37,54.11,60.73,74.08,56.01,1,0,0
36.11,49.83,52.33,58.88,56.76,71.28,58.13,1,0,0
33.56,55.37,54.41,56.02,55.77,69.87,59.19,1,0,0
34.41,53.15,52.33,56.98,51.81,68.47,58.13,1,0,0
35.26,57.58,53.37,56.98,55.77,74.08,58.13,1,0,0
33.56,56.47,50.26,56.98,60.73,69.87,56.01,1,0,0
34.41,54.26,54.41,57.93,57.76,71.28,57.07,1,0,0
34.41,54.26,53.37,59.84,59.74,68.47,59.19,1,0,0
34.41,55.37,53.37,57.93,60.73,74.08,56.01,1,0,0
34.41,58.69,55.44,58.88,60.73,71.28,59.19,1,0,0
36.11,53.15,53.37,57.93,58.75,72.68,57.07,1,0,0
35.26,53.15,57.51,56.02,57.76,69.87,59.19,1,0,0
33.56,56.47,55.44,59.84,58.75,71.28,58.13,1,0,0
35.26,56.47,53.37,56.02,57.76,71.28,60.25,1,0,0
35.26,55.37,52.33,58.88,52.8,68.47,59.19,1,0,0
35.26,58.69,51.3,55.07,57.76,74.08,58.13,1,0,0
35.26,56.47,53.37,58.88,58.75,72.68,58.13,1,0,0
36.11,50.94,52.33,56.98,56.76,68.47,56.01,1,0,0
36.11,55.37,52.33,59.84,56.76,71.28,54.95,1,0,0
35.26,56.47,51.3,57.93,62.71,71.28,58.13,1,0,0
36.95,56.47,53.37,56.02,56.76,71.28,56.01,1,0,0
34.41,55.37,51.3,56.02,54.78,72.68,59.19,1,0,0
34.41,54.26,52.33,56.02,54.78,69.87,59.19,1,0,0
35.26,55.37,51.3,56.98,61.72,71.28,60.25,1,0,0
36.95,58.69,50.26,56.98,51.81,74.08,60.25,1,0,0
36.95,56.47,54.41,56.98,52.8,69.87,57.07,1,0,0
33.56,58.69,56.48,56.02,56.76,65.66,61.31,1,0,0
34.41,56.47,54.41,57.93,53.79,71.28,57.07,1,0,0
36.11,56.47,52.33,57.93,55.77,71.28,61.31,1,0,0
35.26,56.47,51.3,57.93,53.79,67.06,58.13,1,0,0
34.41,55.37,55.44,55.07,52.8,75.49,59.19,1,0,0
36.11,55.37,52.33,55.07,57.76,76.89,58.13,1,0,0
34.41,55.37,53.37,57.93,59.74,72.68,58.13,1,0,0
36.11,55.37,52.33,58.88,54.78,67.06,61.31,1,0,0
36.11,53.15,53.37,56.02,57.76,72.68,60.25,1,0,0
36.11,54.26,52.33,55.07,54.78,69.87,58.13,1,0,0
33.56,55.37,54.41,57.93,59.74,72.68,57.07,1,0,0
36.11,54.26,54.41,57.93,56.76,69.87,59.19,1,0,0
36.11,52.04,51.3,55.07,57.76,74.08,58.13,1,0,0
36.11,55.37,53.37,57.93,53.79,69.87,58.13,1,0,0
36.11,55.37,52.33,56.02,55.77,69.87,59.19,1,0,0
35.26,54.26,51.3,60.79,60.73,74.08,57.07,1,0,0
35.26,55.37,55.44,56.02,54.78,72.68,59.19,1,0,0
36.95,49.83,51.3,59.84,55.77,68.47,60.25,1,0,0
35.26,56.47,52.33,54.11,54.78,75.49,59.19,1,0,0
35.26,56.47,53.37,56.98,53.79,71.28,61.31,1,0,0
35.26,50.94,53.37,55.07,60.73,69.87,60.25,1,0,0
35.26,54.26,54.41,56.98,57.76,69.87,59.19,1,0,0
35.26,55.37,52.33,56.98,57.76,71.28,59.19,1,0,0
34.41,56.47,52.33,56.98,55.77,74.08,58.13,1,0,0
33.56,56.47,51.3,57.93,58.75,67.06,58.13,1,0,0
35.26,50.94,55.44,58.88,49.83,69.87,59.19,1.2,0,0
35.26,54.26,50.26,56.02,56.76,71.28,61.31,1.2,0,0
32.71,52.04,55.44,56.02,53.79,69.87,59.19,1.2,0,0
36.11,52.04,51.3,56.98,55.77,69.87,58.13,1.2,0,0
35.26,55.37,54.41,57.93,56.76,71.28,58.13,1.2,0,0
36.11,56.47,55.44,54.11,51.81,71.28,59.19,1.2,0,0
36.95,50.94,52.33,53.16,57.76,69.87,59.19,1.2,0,0
34.41,53.15,51.3,57.93,51.81,68.47,60.25,1.2,0,0
36.11,50.94,51.3,55.07,56.76,71.28,59.19,1.2,0,0
36.11,56.47,52.33,56.02,49.83,68.47,58.13,1.2,0,0
36.11,50.94,49.23,53.16,49.83,71.28,59.19,1.2,0,0
36.11,54.26,57.51,56.02,55.77,74.08,58.13,1.2,0,0
35.26,55.37,54.41,56.98,54.78,71.28,59.19,1.2,0,0
36.11,53.15,54.41,55.07,49.83,68.47,59.19,1.2,0,0
35.26,53.15,53.37,58.88,51.81,72.68,61.31,1.2,0,0
36.95,52.04,51.3,58.88,52.8,74.08,56.01,1.2,0,0
36.11,53.15,51.3,56.98,52.8,76.89,59.19,1.2,0,0
36.11,50.94,52.33,57.93,57.76,72.68,59.19,1.2,0,0
36.95,56.47,53.37,56.02,47.84,68.47,58.13,1.2,0,0
37.8,52.04,53.37,57.93,53.79,72.68,58.13,1.2,0,0
36.11,53.15,53.37,58.88,53.79,71.28,61.31,1.2,0,0
35.26,48.72,54.41,56.98,52.8,75.49,59.19,1.2,0,0
36.95,56.47,51.3,56.02,51.81,69.87,58.13,1.2,0,0
36.95,52.04,54.41,57.93,48.84,74.08,59.19,1.2,0,0
39.5,50.94,53.37,56.98,50.82,69.87,57.07,1.2,0,0
35.26,49.83,50.26,56.02,53.79,71.28,59.19,1.2,0,0
36.11,52.04,53.37,56.02,53.79,74.08,59.19,1.2,0,0
35.26,54.26,52.33,53.16,54.78,75.49,58.13,1.2,0,0
32.71,52.04,54.41,55.07,51.81,71.28,59.19,1.2,0,0
35.26,54.26,51.3,57.93,52.8,72.68,60.25,1.2,0,0
35.26,56.47,52.33,57.93,53.79,71.28,60.25,1.2,0,0
35.26,52.04,50.26,56.98,50.82,67.06,58.13,1.2,0,0
38.65,52.04,50.26,58.88,49.83,68.47,60.25,1.2,0,0
36.95,53.15,49.23,57.93,50.82,71.28,59.19,1.2,0,0
36.11,49.83,53.37,56.02,50.82,69.87,57.07,1.2,0,0
36.11,49.83,54.41,57.93,49.83,68.47,56.01,1.2,0,0
36.11,48.72,52.33,58.88,48.84,74.08,58.13,1.2,0,0
35.26,50.94,54.41,54.11,53.79,74.08,58.13,1.2,0,0
35.26,50.94,53.37,56.02,52.8,75.49,58.13,1.2,0,0
35.26,53.15,52.33,56.98,52.8,68.47,57.07,1.2,0,0
36.11,52.04,49.23,57.93,48.84,69.87,56.01,1.2,0,0
37.8,50.94,51.3,56.98,50.82,74.08,61.31,1.2,0,0
36.11,49.83,53.37,56.98,51.81,69.87,57.07,1.2,0,0
34.41,53.15,50.26,57.93,51.81,71.28,56.01,1.2,0,0
38.65,50.94,49.23,57.93,50.82,72.68,58.13,1.2,0,0
36.11,55.37,50.26,56.98,50.82,72.68,59.19,1.2,0,0
36.11,55.37,51.3,56.02,48.84,74.08,56.01,1.2,0,0
37.8,56.47,48.19,56.02,50.82,72.68,57.07,1.2,0,0
36.11,53.15,50.26,55.07,50.82,69.87,56.01,1.2,0,0
35.26,52.04,51.3,56.98,42.89,74.08,58.13,1.2,0,0
36.11,49.83,51.3,59.84,49.83,74.08,58.13,1.2,0,0
36.95,53.15,53.37,53.16,52.8,69.87,56.01,1.2,0,0
36.11,46.51,52.33,58.88,48.84,74.08,57.07,1.2,0,0
37.8,48.72,50.26,56.98,46.85,74.08,56.01,1.2,0,0
37.8,47.62,54.41,55.07,43.88,69.87,58.13,1.2,0,0
36.95,48.72,53.37,55.07,49.83,69.87,54.95,1.2,0,0
33.56,47.62,51.3,56.98,46.85,74.08,58.13,1.2,0,0
34.41,49.83,51.3,59.84,47.84,69.87,57.07,1.2,0,0
36.11,50.94,50.26,56.02,49.83,68.47,57.07,1.2,0,0
35.26,48.72,54.41,56.98,43.88,68.47,54.95,1.2,0,0
36.11,49.83,55.44,55.07,43.88,71.28,57.07,1.2,0,0
36.95,52.04,53.37,56.02,47.84,71.28,57.07,1.2,0,0
33.56,50.94,55.44,56.98,43.88,72.68,53.89,1.2,0,0
35.26,55.37,54.41,57.93,47.84,75.49,58.13,1.2,0,0
36.11,49.83,57.51,55.07,40.91,72.68,58.13,1.2,0,0
36.95,50.94,53.37,57.93,46.85,75.49,56.01,1.2,0,0
35.26,52.04,52.33,57.93,42.89,74.08,57.07,1.2,0,0
36.95,49.83,51.3,56.98,50.82,78.3,57.07,1.2,0,0
36.11,49.83,53.37,56.02,43.88,69.87,59.19,1.2,0,0
38.65,48.72,51.3,54.11,44.87,72.68,57.07,1.2,0,0
36.95,49.83,53.37,56.02,45.86,74.08,59.19,1.2,0,0
36.11,50.94,54.41,55.07,45.86,71.28,56.01,1.2,0,0
37.8,52.04,52.33,60.79,41.9,74.08,58.13,1.2,0,0
36.95,52.04,50.26,56.98,45.86,67.06,59.19,1.2,0,0
36.11,52.04,54.41,57.93,45.86,71.28,58.13,1.2,0,0
36.11,54.26,54.41,56.02,45.86,74.08,59.19,1.2,0,0
36.11,47.62,53.37,59.84,43.88,72.68,57.07,1.2,0,0
36.95,50.94,51.3,56.98,39.92,74.08,56.01,1.2,0,0
37.8,52.04,50.26,56.98,46.85,76.89,56.01,1.2,0,0
34.41,49.83,52.33,60.79,34.96,69.87,57.07,1.2,0,0
37.8,47.62,51.3,57.93,42.89,72.68,59.19,1.4,0,0
35.26,47.62,49.23,59.84,42.89,72.68,62.37,1.4,0,0
36.11,48.72,54.41,58.88,35.95,74.08,58.13,1.4,0,0
36.95,52.04,53.37,57.93,45.86,72.68,59.19,1.4,0,0
36.11,46.51,53.37,59.84,35.95,72.68,54.95,1.4,0,0
36.11,47.62,55.44,58.88,39.92,74.08,60.25,1.4,0,0
34.41,46.51,52.33,58.88,41.9,71.28,61.31,1.4,0,0
36.95,48.72,51.3,56.98,39.92,68.47,60.25,1.4,0,0
35.26,46.51,51.3,56.02,36.94,65.66,58.13,1.4,0,0
35.26,47.62,54.41,59.84,36.94,71.28,59.19,1.4,0,0
35.26,47.62,51.3,59.84,31.99,72.68,60.25,1.4,0,0
33.56,53.15,55.44,61.75,41.9,72.68,59.19,1.4,0,0
36.11,46.51,51.3,58.88,43.88,71.28,58.13,1.4,0,0
36.11,48.72,54.41,57.93,42.89,72.68,58.13,1.4,0,0
36.11,44.3,52.33,59.84,38.93,72.68,57.07,1.4,0,0
36.11,50.94,55.44,59.84,38.93,67.06,57.07,1.4,0,0
36.95,50.94,53.37,60.79,42.89,71.28,61.31,1.4,0,0
35.26,47.62,51.3,56.98,37.94,65.66,60.25,1.4,0,0
36.95,45.4,55.44,62.7,28.03,71.28,61.31,1.4,0,0
35.26,50.94,52.33,57.93,41.9,69.87,59.19,1.4,0,0
35.26,49.83,53.37,59.84,36.94,68.47,61.31,1.4,0,0
35.26,47.62,54.41,56.02,33.97,68.47,58.13,1.4,0,0
37.8,43.19,50.26,57.93,35.95,68.47,60.25,1.4,0,0
36.11,48.72,53.37,59.84,36.94,69.87,60.25,1.4,0,0
35.26,46.51,53.37,57.93,29.02,72.68,59.19,1.4,0,0
37.8,52.04,52.33,59.84,36.94,71.28,60.25,1.4,0,0
35.26,48.72,51.3,59.84,36.94,68.47,58.13,1.4,0,0
34.41,47.62,53.37,58.88,38.93,71.28,61.31,1.4,0,0
36.11,47.62,53.37,59.84,46.85,72.68,59.19,1.4,0,0
36.11,45.4,54.41,56.98,38.93,71.28,61.31,1.4,0,0
36.95,46.51,56.48,60.79,33.97,72.68,60.25,1.4,0,0
36.95,50.94,51.3,57.93,37.94,71.28,57.07,1.4,0,0
36.11,47.62,49.23,57.93,38.93,69.87,60.25,1.4,0,0
36.11,44.3,52.33,55.07,37.94,74.08,60.25,1.4,0,0
36.95,47.62,51.3,61.75,34.96,74.08,59.19,1.4,0,0
36.11,45.4,54.41,57.93,34.96,71.28,63.43,1.4,0,0
36.11,49.83,50.26,59.84,37.94,71.28,59.19,1.4,0,0
35.26,44.3,54.41,56.98,27.03,79.7,61.31,1.4,0,0
36.95,49.83,53.37,57.93,32.98,74.08,60.25,1.4,0,0
36.11,49.83,56.48,57.93,31.99,67.06,61.31,1.4,0,0
35.26,45.4,53.37,58.88,35.95,71.28,61.31,1.4,0,0
35.26,45.4,51.3,56.98,36.94,76.89,59.19,1.4,0,0
36.11,45.4,53.37,57.93,29.02,71.28,62.37,1.4,0,0
35.26,46.51,54.41,58.88,34.96,68.47,59.19,1.4,0,0
37.8,42.08,57.51,60.79,31.99,75.49,61.31,1.4,0,0
36.95,48.72,55.44,59.84,29.02,72.68,60.25,1.4,0,0
36.11,47.62,57.51,59.84,22.08,72.68,61.31,1.4,0,0
35.26,44.3,53.37,59.84,37.94,69.87,59.19,1.4,0,0
38.65,45.4,52.33,57.93,21.09,69.87,60.25,1.4,0,0
36.95,45.4,52.33,61.75,27.03,71.28,57.07,1.4,0,0
36.11,47.62,52.33,58.88,32.98,67.06,60.25,1.4,0,0
35.26,46.51,53.37,56.02,29.02,68.47,63.43,1.4,0,0
36.11,48.72,54.41,60.79,33.97,69.87,60.25,1.4,0,0
38.65,46.51,51.3,56.98,24.06,71.28,60.25,1.4,0,0
36.95,46.51,52.33,56.98,30.01,71.28,60.25,1.4,0,0
36.95,48.72,53.37,60.79,32.98,71.28,58.13,1.4,0,0
36.11,43.19,51.3,58.88,31.99,71.28,62.37,1.4,0,0
38.65,43.19,53.37,56.98,30.01,74.08,60.25,1.4,0,0
34.41,46.51,54.41,56.98,32.98,68.47,59.19,1.4,0,0
36.11,42.08,55.44,58.88,36.94,76.89,60.25,1.4,0,0
35.26,49.83,52.33,57.93,35.95,71.28,58.13,1.4,0,0
