Sx00,Sx01,Sx02,Sx03,Sx04,Sx05,Sx06,Force,z,theta,r
32,38,50,30,45,37,45,0.03,0,0,"2
"
32,38,50,34,45,37,45,0.03,0,0,"2
"
37,44,47,34,44,39,49,-0.05,0,0,"2
"
37,44,47,34,44,39,49,-0.08,0,0,"2
"
37,42,48,35,46,35,49,-0.08,0,0,"2
"
37,42,48,35,46,35,49,-0.15,0,0,"2
"
37,42,48,31,46,35,49,-0.13,0,0,"2
"
37,42,49,31,45,35,47,-0.12,0,0,"2
"
37,42,49,31,45,35,47,-0.05,0,0,"2
"
37,45,41,32,44,34,47,-0.02,0,0,"2
"
36,45,41,32,44,34,43,-0.02,0,0,"2
"
36,45,41,32,44,34,43,-0.15,0,0,"2
"
37,41,46,32,42,36,51,-0.2,0,0,"2
"
37,41,46,32,42,36,51,-0.14,0,0,"2
"
37,41,46,36,49,36,51,-0.12,0,0,"2
"
41,44,46,36,49,35,47,-0.14,0,0,"2
"
41,44,46,36,49,35,47,-0.12,0,0,"2
"
41,40,44,36,43,35,45,-0.12,0,0,"2
"
41,40,44,36,43,35,45,-0.09,0,0,"2
"
41,40,44,31,43,35,45,-0.05,0,0,"2
"
38,44,48,31,44,35,47,-0.02,0,0,"2
"
38,44,48,31,44,35,47,-0.09,0,0,"2
"
38,41,49,33,46,40,47,-0.1,0,0,"2
"
38,41,49,33,46,40,49,-0.18,0,0,"2
"
38,41,49,35,46,40,49,-0.18,0,0,"2
"
39,46,46,35,44,38,49,-0.11,0,0,"2
"
39,46,46,35,44,38,49,-0.1,0,0,"2
"
39,46,50,33,47,38,49,-0.15,0,0,"2
"
38,45,50,33,47,36,48,-0.16,0,0,"2
"
38,45,50,33,47,36,48,-0.14,0,0,"2
"
38,43,47,33,44,33,47,-0.11,0,0,"2
"
38,43,47,33,44,33,47,-0.19,0,0,"2
"
38,43,47,37,44,33,47,-0.21,0,0,"2
"
38,42,48,37,45,35,46,-0.12,0,0,"2
"
38,42,48,36,45,35,46,-0.13,0,0,"2
"
38,37,45,36,43,33,49,-0.14,0,0,"2
"
39,37,45,36,43,33,49,-0.2,0,0,"2
"
39,37,45,34,43,33,49,-0.18,0,0,"2
"
37,42,45,34,41,38,46,-0.18,0,0,"2
"
37,42,45,34,41,38,46,-0.26,0,0,"2
"
37,42,45,37,44,36,46,-0.33,0,0,"2
"
41,43,45,37,44,36,47,-0.23,0,0,"2
"
41,43,45,35,44,36,47,-0.18,0,0,"2
"
41,41,45,35,44,35,51,-0.23,0,0,"2
"
38,41,45,35,44,35,51,-0.3,0,0,"2
"
38,41,45,30,40,35,51,-0.21,0,0,"2
"
40,41,43,30,40,37,47,-0.14,0,0,"2
"
40,41,43,34,40,37,47,-0.23,0,0,"2
"
40,40,46,34,43,36,48,-0.27,0,0,"2
"
39,40,46,34,43,36,48,-0.27,0,0,"2
"
