Sx00,Sx01,Sx02,Sx03,Sx04,Sx05,Sx06,Force,z,theta,r
37,42,48,36,42,37,51,43.37,0,0,"7
"
37,42,48,36,42,37,51,43.23,0,0,"7
"
37,42,51,36,42,38,49,43.27,0,0,"7
"
37,42,51,36,39,38,49,43.33,0,0,"7
"
40,41,45,36,39,39,51,43.35,0,0,"7
"
40,41,45,33,41,39,51,43.33,0,0,"7
"
40,41,45,33,41,39,51,43.31,0,0,"7
"
37,41,45,33,41,39,49,43.29,0,0,"7
"
37,41,45,38,41,39,49,43.31,0,0,"7
"
35,44,52,38,41,36,50,43.31,0,0,"7
"
35,44,52,35,41,36,50,43.3,0,0,"7
"
35,44,52,35,40,36,50,43.27,0,0,"7
"
38,48,47,35,40,38,47,43.29,0,0,"7
"
38,48,47,39,40,38,47,43.36,0,0,"7
"
38,45,48,39,40,36,49,43.26,0,0,"7
"
38,45,48,37,40,36,49,43.24,0,0,"7
"
38,45,48,37,43,36,49,43.29,0,0,"7
"
39,43,50,37,43,34,48,43.2,0,0,"7
"
39,43,50,39,42,34,48,43.17,0,0,"7
"
39,46,44,39,42,34,46,43.17,0,0,"7
"
39,46,44,39,42,38,46,43.18,0,0,"7
"
39,46,44,39,42,38,46,43.3,0,0,"7
"
34,43,49,39,42,35,48,43.32,0,0,"7
"
34,43,49,37,44,35,48,43.26,0,0,"7
"
34,42,49,37,44,35,48,43.24,0,0,"7
"
38,42,47,35,44,39,52,43.26,0,0,"7
"
38,42,47,35,42,39,52,43.18,0,0,"7
"
37,45,48,35,42,41,49,43.19,0,0,"7
"
37,45,48,39,46,41,49,43.2,0,0,"7
"
37,45,48,39,46,41,49,43.13,0,0,"7
"
39,45,48,39,46,35,50,43.18,0,0,"7
"
39,45,48,40,42,35,50,43.17,0,0,"7
"
39,43,47,40,42,40,48,43.21,0,0,"7
"
38,43,47,37,42,40,48,43.17,0,0,"7
"
38,43,47,37,43,40,48,43.2,0,0,"7
"
37,47,49,37,43,40,46,43.21,0,0,"7
"
37,47,49,37,40,40,46,43.22,0,0,"7
"
37,43,46,37,40,39,47,43.24,0,0,"7
"
37,43,46,35,40,39,47,43.25,0,0,"7
"
37,43,46,35,42,39,47,43.18,0,0,"7
"
42,45,52,35,42,37,50,43.15,0,0,"7
"
42,45,52,40,41,37,50,43.21,0,0,"7
"
42,44,49,40,41,37,57,43.19,0,0,"7
"
39,44,49,38,41,35,57,43.2,0,0,"7
"
39,44,49,38,44,35,57,43.21,0,0,"7
"
38,39,52,38,44,41,48,43.13,0,0,"7
"
38,39,52,37,42,41,48,43.12,0,0,"7
"
38,43,52,37,42,41,48,43.1,0,0,"7
"
37,43,49,38,42,38,52,43.2,0,0,"7
"
37,43,49,38,43,38,52,43.14,0,0,"7
"
37,43,44,38,43,39,46,43.11,0,0,"7
"
35,43,44,36,41,39,46,43.14,0,0,"7
"
35,43,44,36,41,39,46,43.2,0,0,"7
"
35,45,48,39,41,38,51,43.24,0,0,"7
"
35,45,48,39,42,38,51,43.1,0,0,"7
"
35,45,45,39,42,38,50,43.06,0,0,"7
"
38,45,45,38,42,38,50,43.08,0,0,"7
"
38,45,45,38,46,38,50,42.98,0,0,"7
"
37,43,49,37,46,38,52,43.02,0,0,"7
"
37,43,49,37,43,38,52,43.02,0,0,"7
"
37,41,51,37,43,35,51,42.97,0,0,"7
"
41,41,51,38,43,35,51,42.98,0,0,"7
"
41,41,51,38,46,35,51,43.02,0,0,"7
"
39,45,49,38,46,37,48,43.11,0,0,"7
"
39,45,49,35,45,37,48,43.09,0,0,"7
"
39,43,50,35,45,37,48,43.09,0,0,"7
"
41,43,50,36,45,40,48,42.97,0,0,"7
"
41,43,50,36,44,40,48,43,0,0,"7
"
41,38,49,36,44,37,46,43.04,0,0,"7
"
35,38,49,39,44,37,46,43.08,0,0,"7
"
35,41,49,39,44,37,46,43.1,0,0,"7
"
37,41,48,34,44,39,45,43.1,0,0,"7
"
37,41,48,34,46,39,45,43,0,0,"7
"
37,40,50,34,46,37,47,43.05,0,0,"7
"
37,40,50,36,43,37,47,43.03,0,0,"7
"
37,40,50,36,43,37,47,42.95,0,0,"7
"
37,45,48,36,43,39,48,43.02,0,0,"7
"
37,45,48,36,44,39,48,43.04,0,0,"7
"
37,43,51,36,44,40,50,43.03,0,0,"7
"
41,43,51,34,44,40,50,42.93,0,0,"7
"
41,43,51,34,44,40,50,43.01,0,0,"7
"
44,41,49,38,44,38,51,43.09,0,0,"7
"
44,41,49,38,46,38,51,43.03,0,0,"7
"
44,43,48,38,46,39,51,42.97,0,0,"7
"
36,43,48,36,46,39,51,43.06,0,0,"7
"
36,43,48,36,44,39,51,42.96,0,0,"7
"
43,46,49,40,44,38,47,42.96,0,0,"7
"
43,46,49,40,44,38,47,42.91,0,0,"7
"
43,48,49,40,44,38,47,42.94,0,0,"7
"
38,48,57,34,44,38,47,42.93,0,0,"7
"
38,48,57,34,45,38,47,42.91,0,0,"7
"
38,42,44,34,45,37,44,42.97,0,0,"7
"
44,42,44,34,46,37,44,42.95,0,0,"7
"
44,45,44,34,46,37,44,42.87,0,0,"7
"
37,45,45,33,46,39,49,42.95,0,0,"7
"
37,45,45,33,46,39,49,42.97,0,0,"7
"
37,44,49,33,46,41,47,42.97,0,0,"7
"
39,44,49,35,44,41,47,42.87,0,0,"7
"
39,44,49,35,44,41,47,42.81,0,0,"7
"
37,41,47,35,44,37,49,42.97,0,0,"7
"
37,41,47,35,44,37,49,42.96,0,0,"7
"
37,44,51,35,44,36,48,42.93,0,0,"7
"
38,44,51,35,44,36,48,42.98,0,0,"7
"
38,44,51,35,43,36,48,42.94,0,0,"7
"
42,42,51,39,43,40,53,42.98,0,0,"7
"
42,42,51,39,45,40,53,42.91,0,0,"7
"
42,44,48,39,45,36,53,42.89,0,0,"7
"
38,44,48,37,45,36,48,42.9,0,0,"7
"
38,44,48,37,44,36,48,42.88,0,0,"7
"
38,41,51,37,44,39,52,42.88,0,0,"7
"
37,41,51,37,44,39,52,42.88,0,0,"7
"
37,42,51,37,44,39,52,42.91,0,0,"7
"
36,42,49,35,44,35,49,42.9,0,0,"7
"
36,42,49,35,44,35,49,42.9,0,0,"7
"
36,47,47,36,44,35,51,42.97,0,0,"7
"
36,45,45,33,46,34,47,63.82,0,0,"8
"
34,45,45,33,44,34,47,63.5,0,0,"8
"
34,45,48,32,44,38,45,63.36,0,0,"8
"
31,45,48,32,44,38,45,63.08,0,0,"8
"
31,45,48,35,44,38,45,62.79,0,0,"8
"
31,43,52,35,44,35,49,62.57,0,0,"8
"
40,43,52,35,42,35,49,62.4,0,0,"8
"
40,37,48,37,42,37,49,62.16,0,0,"8
"
37,37,48,37,44,37,46,61.93,0,0,"8
"
37,37,48,32,44,37,46,61.78,0,0,"8
"
37,45,46,32,44,38,46,61.61,0,0,"8
"
35,45,46,32,43,38,46,61.45,0,0,"8
"
35,42,50,35,43,36,46,61.25,0,0,"8
"
41,42,50,35,44,36,46,61.14,0,0,"8
"
41,42,50,35,44,36,46,61.07,0,0,"8
"
41,44,44,37,44,37,52,60.79,0,0,"8
"
33,44,44,37,44,37,52,60.69,0,0,"8
"
33,44,48,41,44,35,52,60.47,0,0,"8
"
33,41,48,41,44,35,45,60.36,0,0,"8
"
34,41,48,41,44,35,45,60.31,0,0,"8
"
34,42,48,39,44,34,46,60.18,0,0,"8
"
33,42,48,39,43,34,46,60.11,0,0,"8
"
33,42,48,35,43,34,46,60.02,0,0,"8
"
33,39,49,35,48,36,47,59.96,0,0,"8
"
35,39,49,35,48,36,47,59.79,0,0,"8
"
35,43,51,36,48,37,52,59.7,0,0,"8
"
40,43,51,36,47,37,52,59.65,0,0,"8
"
40,43,51,37,47,37,52,59.55,0,0,"8
"
40,47,54,37,47,43,50,59.54,0,0,"8
"
34,47,54,37,46,43,50,59.61,0,0,"8
"
34,37,51,40,46,38,50,59.42,0,0,"8
"
33,37,51,40,48,38,45,59.28,0,0,"8
"
33,37,51,33,48,38,45,59.15,0,0,"8
"
33,37,47,33,48,38,49,59.08,0,0,"8
"
36,37,47,33,46,38,49,59.01,0,0,"8
"
36,42,47,35,46,41,49,58.92,0,0,"8
"
36,42,47,35,46,41,48,58.92,0,0,"8
"
37,42,47,37,46,41,48,58.9,0,0,"8
"
37,41,50,37,46,39,47,58.89,0,0,"8
"
35,41,50,37,45,39,47,58.81,0,0,"8
"
35,41,49,33,45,38,47,58.72,0,0,"8
"
35,38,49,33,47,38,45,58.71,0,0,"8
"
33,38,49,33,47,38,45,58.64,0,0,"8
"
33,44,51,33,47,39,47,58.62,0,0,"8
"
35,44,51,33,44,39,47,58.61,0,0,"8
"
35,44,51,35,44,39,47,58.52,0,0,"8
"
35,38,49,35,45,39,49,58.46,0,0,"8
"
34,38,49,35,45,39,49,58.44,0,0,"8
"
34,41,49,39,45,39,50,58.4,0,0,"8
"
38,41,49,39,45,39,50,58.39,0,0,"8
"
38,41,49,35,45,39,50,58.23,0,0,"8
"
38,38,47,35,48,39,51,58.15,0,0,"8
"
35,38,47,35,48,39,51,58.14,0,0,"8
"
35,40,51,33,48,37,51,58.12,0,0,"8
"
34,40,51,33,44,37,49,58.12,0,0,"8
"
34,40,51,37,44,37,49,58.19,0,0,"8
"
34,42,51,37,44,34,47,58.13,0,0,"8
"
30,42,51,37,44,34,47,58.03,0,0,"8
"
30,43,50,32,44,37,47,58.01,0,0,"8
"
30,43,50,32,42,37,48,58.01,0,0,"8
"
33,43,50,34,42,37,48,57.94,0,0,"8
"
33,46,55,34,42,40,49,57.89,0,0,"8
"
31,46,55,34,42,40,49,57.86,0,0,"8
"
31,46,49,35,42,35,49,57.87,0,0,"8
"
31,40,49,35,43,35,46,57.84,0,0,"8
"
29,40,49,32,43,35,46,57.83,0,0,"8
"
29,42,52,32,43,35,47,57.77,0,0,"8
"
35,42,52,32,44,35,47,57.66,0,0,"8
"
35,42,53,36,44,35,47,57.67,0,0,"8
"
35,42,53,36,44,35,50,57.67,0,0,"8
"
37,42,53,36,44,35,50,57.64,0,0,"8
"
37,39,46,36,44,36,48,57.61,0,0,"8
"
38,39,46,36,40,36,48,57.63,0,0,"8
"
38,39,46,38,40,36,48,57.65,0,0,"8
"
38,45,45,38,40,38,44,57.58,0,0,"8
"
37,45,45,33,40,38,44,57.48,0,0,"8
"
37,41,51,33,40,38,44,57.55,0,0,"8
"
37,41,51,33,41,38,43,57.51,0,0,"8
"
40,41,51,35,41,38,43,57.5,0,0,"8
"
40,41,49,35,43,39,47,57.37,0,0,"8
"
35,41,49,35,43,39,47,57.33,0,0,"8
"
35,42,49,36,43,38,47,57.39,0,0,"8
"
35,42,49,36,43,38,47,57.42,0,0,"8
"
39,42,49,38,43,38,47,57.34,0,0,"8
"
39,40,45,38,43,36,49,57.3,0,0,"8
"
33,40,45,38,41,36,49,57.24,0,0,"8
"
33,40,47,37,41,35,49,57.18,0,0,"8
"
33,40,47,37,39,35,49,57.24,0,0,"8
"
34,40,47,37,39,35,49,57.21,0,0,"8
"
34,41,51,37,39,36,48,57.22,0,0,"8
"
30,41,51,37,39,36,48,57.28,0,0,"8
"
30,41,49,36,39,36,48,57.2,0,0,"8
"
30,41,49,36,38,36,45,57.11,0,0,"8
"
31,41,49,36,38,36,45,57.12,0,0,"8
"
31,39,46,36,38,35,47,57.05,0,0,"8
"
34,39,46,36,41,35,47,57.11,0,0,"8
"
34,39,46,33,41,35,47,57.15,0,0,"8
"
34,43,47,33,42,35,47,57.11,0,0,"8
"
30,43,47,33,42,35,47,57.07,0,0,"8
"
30,38,48,33,42,40,47,57.01,0,0,"8
"
30,38,48,33,37,40,48,57.06,0,0,"8
"
37,38,48,34,37,40,48,57.04,0,0,"8
"
37,38,45,34,42,37,46,57.04,0,0,"8
"
36,38,45,38,42,37,46,56.99,0,0,"8
"
36,42,52,38,42,39,46,56.97,0,0,"8
"
36,42,52,38,41,39,49,56.94,0,0,"8
"
30,42,52,35,41,39,49,56.88,0,0,"8
"
30,40,55,35,42,36,47,56.9,0,0,"8
"
33,40,55,34,42,36,47,56.91,0,0,"8
"
33,40,52,34,42,35,47,56.93,0,0,"8
"
33,42,52,34,41,35,49,56.94,0,0,"8
"
34,42,52,37,41,35,49,56.88,0,0,"8
"
34,38,48,37,41,38,47,56.89,0,0,"8
"
31,38,48,37,42,38,47,56.79,0,0,"8
"
31,38,51,36,42,38,47,56.8,0,0,"8
"
31,45,51,36,45,37,49,56.85,0,0,"8
"
35,45,51,37,45,37,49,56.81,0,0,"8
"
35,40,52,37,45,37,49,56.84,0,0,"8
"
35,40,52,37,44,37,49,56.83,0,0,"8
"
35,40,52,35,44,37,49,56.82,0,0,"8
"
35,36,46,35,43,38,48,56.8,0,0,"8
"
33,36,46,37,43,38,48,56.82,0,0,"8
"
33,39,51,37,43,38,48,56.75,0,0,"8
"
33,39,51,37,41,38,47,56.76,0,0,"8
"
38,39,51,38,41,38,47,56.69,0,0,"8
"
38,41,50,38,43,39,46,56.69,0,0,"8
"
38,41,50,36,43,39,46,56.69,0,0,"8
"
38,41,52,36,43,39,46,56.75,0,0,"8
"
38,43,52,36,43,39,44,56.68,0,0,"8
"
34,43,52,33,43,39,44,56.63,0,0,"8
"
34,41,52,33,43,40,45,56.63,0,0,"8
"
34,41,52,35,43,40,45,56.61,0,0,"8
"
34,41,47,35,43,40,45,56.56,0,0,"8
"
34,39,47,35,42,40,45,56.6,0,0,"8
"
38,39,47,40,42,40,45,56.67,0,0,"8
"
38,42,50,40,42,39,47,56.66,0,0,"8
"
38,42,50,40,42,39,47,56.62,0,0,"8
"
37,42,50,38,42,39,47,56.61,0,0,"8
"
37,43,48,38,45,40,45,56.61,0,0,"8
"
39,43,48,40,45,40,45,56.58,0,0,"8
"
39,42,51,40,45,37,45,56.6,0,0,"8
"
39,42,51,40,47,37,46,56.49,0,0,"8
"
37,42,51,39,47,37,46,56.53,0,0,"8
"
37,41,47,39,42,37,46,56.58,0,0,"8
"
36,41,47,40,42,37,46,56.52,0,0,"8
"
36,41,49,40,42,39,46,56.42,0,0,"8
"
36,41,49,40,48,39,48,56.43,0,0,"8
"
34,41,49,39,48,39,48,56.47,0,0,"8
"
34,42,50,39,48,42,45,56.46,0,0,"8
"
37,42,50,38,43,42,45,56.44,0,0,"8
"
37,42,46,38,43,42,45,56.42,0,0,"8
"
37,41,46,38,46,39,45,56.48,0,0,"8
"
36,41,46,36,46,39,45,56.46,0,0,"8
"
36,41,46,36,46,39,49,56.39,0,0,"8
"
36,41,46,34,46,39,49,56.46,0,0,"8
"
35,41,46,34,46,39,49,56.41,0,0,"8
"
35,39,51,34,44,39,49,56.32,0,0,"8
"
36,39,51,38,44,39,49,56.4,0,0,"8
"
36,41,43,38,44,39,49,56.38,0,0,"8
"
36,41,43,38,46,39,46,56.38,0,0,"8
"
39,41,43,38,46,39,46,56.35,0,0,"8
"
39,40,47,38,45,40,47,56.39,0,0,"8
"
39,40,47,36,45,40,47,56.42,0,0,"8
"
39,40,44,36,45,38,47,56.41,0,0,"8
"
39,41,44,36,45,38,44,56.32,0,0,"8
"
39,41,44,35,45,38,44,56.29,0,0,"8
"
39,42,48,35,46,39,46,56.31,0,0,"8
"
31,42,48,37,46,39,46,56.27,0,0,"8
"
31,42,50,37,46,36,46,56.26,0,0,"8
"
31,41,50,37,42,36,49,56.31,0,0,"8
"
36,41,50,35,42,36,49,56.32,0,0,"8
"
36,40,48,35,42,41,44,56.22,0,0,"8
"
36,40,48,34,47,41,44,56.19,0,0,"8
"
35,40,48,34,47,41,44,56.24,0,0,"8
"
35,41,49,34,44,40,47,56.24,0,0,"8
"
38,41,49,36,44,40,47,56.25,0,0,"8
"
38,42,47,36,44,38,47,56.21,0,0,"8
"
38,42,47,36,43,38,47,56.16,0,0,"8
"
35,42,47,36,43,38,47,56.16,0,0,"8
"
35,40,47,36,45,36,46,56.15,0,0,"8
"
36,40,47,36,45,36,46,56.16,0,0,"8
"
36,39,46,36,45,38,46,56.26,0,0,"8
"
36,39,46,34,45,38,47,56.2,0,0,"8
"
36,39,46,34,45,38,47,56.11,0,0,"8
"
36,38,47,34,48,36,45,56.16,0,0,"8
"
36,38,47,35,48,36,45,56.22,0,0,"8
"
36,38,47,35,48,39,45,56.17,0,0,"8
"
36,41,47,37,41,39,47,56.12,0,0,"8
"
31,41,47,37,41,39,47,56.17,0,0,"8
"
31,45,49,37,46,36,50,56.13,0,0,"8
"
31,45,49,34,46,36,50,56.09,0,0,"8
"
37,45,52,34,46,40,50,56.15,0,0,"8
"
37,43,52,34,46,40,48,56.18,0,0,"8
"
33,43,52,35,46,40,48,56.06,0,0,"8
"
33,45,50,35,47,41,48,56.04,0,0,"8
"
33,45,50,40,47,41,48,56.03,0,0,"8
"
32,45,50,40,47,41,48,56.07,0,0,"8
"
32,42,49,40,44,36,45,56.01,0,0,"8
"
34,42,49,36,44,36,45,56.07,0,0,"8
"
34,45,49,36,44,41,44,56.06,0,0,"8
"
34,45,49,35,48,41,44,56.06,0,0,"8
"
32,45,49,35,48,41,44,56.07,0,0,"8
"
32,42,48,35,47,41,45,56.03,0,0,"8
"
32,42,48,36,47,41,45,56.07,0,0,"8
"
32,44,49,36,47,37,45,56.07,0,0,"8
"
32,44,49,37,45,37,47,55.98,0,0,"8
"
40,44,49,37,45,37,47,55.96,0,0,"8
"
40,45,47,37,44,40,47,56,0,0,"8
"
33,45,47,36,44,40,47,56.1,0,0,"8
"
33,43,49,36,44,39,47,56.11,0,0,"8
"
33,43,49,36,45,39,49,56.04,0,0,"8
"
37,43,49,36,45,39,49,55.99,0,0,"8
"
37,40,49,36,46,39,46,56,0,0,"8
"
35,40,49,39,46,39,46,55.94,0,0,"8
"
35,40,50,39,46,39,46,55.9,0,0,"8
"
35,44,50,34,45,39,44,55.96,0,0,"8
"
36,44,50,34,45,39,44,55.9,0,0,"8
"
36,42,47,34,42,44,51,55.9,0,0,"8
"
36,42,47,37,42,44,51,55.91,0,0,"8
"
36,42,48,37,42,42,51,55.93,0,0,"8
"
36,43,48,37,43,42,47,55.94,0,0,"8
"
37,43,48,37,43,42,47,55.95,0,0,"8
"
37,42,49,37,42,43,51,55.86,0,0,"8
"
37,42,49,39,42,43,51,55.83,0,0,"8
"
41,42,52,39,42,40,51,55.91,0,0,"8
"
41,43,52,37,45,40,46,55.91,0,0,"8
"
38,43,52,37,45,40,46,55.89,0,0,"8
"
38,42,53,37,49,37,45,55.89,0,0,"8
"
38,42,53,38,49,37,45,55.87,0,0,"8
"
38,42,48,38,49,37,45,55.84,0,0,"8
"
38,28,48,36,44,37,46,55.78,0,0,"8
"
35,28,48,36,44,37,46,55.77,0,0,"8
"
35,36,48,36,43,42,51,55.83,0,0,"8
"
35,36,48,39,43,42,51,55.8,0,0,"8
"
38,36,48,39,43,42,51,55.76,0,0,"8
"
38,42,50,40,43,39,46,55.83,0,0,"8
"
38,42,50,40,43,39,46,55.9,0,0,"8
"
38,40,49,40,41,39,46,55.87,0,0,"8
"
38,40,49,36,41,39,46,55.78,0,0,"8
"
40,40,49,36,41,39,46,55.75,0,0,"8
"
40,40,47,37,41,40,47,55.79,0,0,"8
"
37,40,47,37,41,40,47,55.75,0,0,"8
"
37,39,45,37,41,38,47,55.79,0,0,"8
"
37,39,45,40,41,38,50,55.8,0,0,"8
"
40,39,45,40,41,38,50,55.82,0,0,"8
"
40,41,50,38,41,38,50,55.88,0,0,"8
"
40,41,50,38,41,38,50,55.84,0,0,"8
"
37,41,49,38,41,40,50,55.83,0,0,"8
"
37,36,49,38,41,40,49,55.75,0,0,"8
"
40,36,49,38,41,40,49,55.72,0,0,"8
"
40,39,46,38,44,38,50,55.78,0,0,"8
"
40,39,46,39,44,38,50,55.72,0,0,"8
"
38,39,45,39,44,38,50,55.71,0,0,"8
"
38,38,45,36,47,38,50,55.77,0,0,"8
"
40,38,45,36,47,38,50,55.73,0,0,"8
"
40,37,47,36,43,34,46,55.65,0,0,"8
"
40,37,47,39,43,34,46,55.66,0,0,"8
"
38,37,47,39,43,42,46,55.7,0,0,"8
"
38,39,47,36,41,42,47,55.72,0,0,"8
"
33,39,47,36,41,42,47,55.7,0,0,"8
"
33,39,48,36,43,35,47,55.69,0,0,"8
"
33,39,48,39,43,35,47,55.72,0,0,"8
"
40,39,48,39,43,39,47,55.75,0,0,"8
"
40,37,48,42,44,39,53,55.69,0,0,"8
"
38,37,48,42,44,39,53,55.61,0,0,"8
"
38,37,48,42,43,39,50,55.7,0,0,"8
"
38,37,48,39,43,39,50,55.74,0,0,"8
"
41,37,48,39,43,39,50,55.63,0,0,"8
"
41,38,47,38,43,36,47,55.6,0,0,"8
"
41,38,47,38,43,36,47,55.63,0,0,"8
"
41,39,49,38,43,34,49,55.67,0,0,"8
"
41,39,49,34,43,34,49,55.68,0,0,"8
"
40,39,49,34,43,34,49,55.6,0,0,"8
"
40,42,48,38,43,39,47,55.7,0,0,"8
"
40,42,48,38,43,39,47,55.67,0,0,"8
"
36,43,48,38,47,39,47,55.67,0,0,"8
"
36,43,48,40,47,39,49,55.63,0,0,"8
"
40,43,48,40,47,39,49,55.63,0,0,"8
"
40,41,49,37,43,39,46,55.66,0,0,"8
"
40,41,49,37,43,39,46,55.56,0,0,"8
"
38,41,48,37,45,38,46,55.58,0,0,"8
"
38,39,48,35,45,38,51,55.62,0,0,"8
"
39,39,48,35,45,38,51,55.47,0,0,"8
"
39,39,48,39,41,39,52,55.5,0,0,"8
"
39,39,48,39,41,39,52,55.53,0,0,"8
"
39,39,46,39,41,37,52,55.65,0,0,"8
"
39,38,46,36,43,37,49,55.64,0,0,"8
"
41,38,46,36,43,37,49,55.58,0,0,"8
"
41,38,44,39,39,40,50,55.58,0,0,"8
"
41,38,44,39,39,40,50,55.52,0,0,"8
"
40,38,50,39,39,39,50,55.53,0,0,"8
"
40,40,50,37,42,39,51,55.57,0,0,"8
"
41,40,50,37,42,39,51,55.65,0,0,"8
"
41,40,47,36,47,36,49,55.59,0,0,"8
"
41,40,47,36,47,36,49,55.52,0,0,"8
"
43,40,51,36,47,41,49,55.53,0,0,"8
"
43,42,51,36,43,41,50,55.44,0,0,"8
"
42,42,51,36,43,41,50,55.37,0,0,"8
"
42,42,52,34,41,36,48,55.46,0,0,"8
"
42,42,52,34,41,36,48,55.52,0,0,"8
"
42,42,47,34,41,39,48,55.55,0,0,"8
"
42,37,47,38,45,39,47,55.55,0,0,"8
"
39,37,47,38,45,39,47,55.52,0,0,"8
"
39,34,50,42,44,35,51,55.58,0,0,"8
"
39,34,50,42,44,35,51,55.54,0,0,"8
"
40,34,50,42,44,35,51,55.51,0,0,"8
"
40,43,52,40,45,37,49,55.54,0,0,"8
"
40,43,52,40,45,37,49,55.49,0,0,"8
"
38,42,45,38,45,35,49,55.47,0,0,"8
"
38,42,45,38,45,35,47,55.48,0,0,"8
"
40,42,45,38,45,35,47,55.47,0,0,"8
"
40,41,50,39,36,37,50,55.47,0,0,"8
"
40,41,50,39,36,37,50,55.38,0,0,"8
"
46,41,48,38,43,36,50,55.44,0,0,"8
"
46,39,48,38,43,36,50,55.48,0,0,"8
"
42,39,48,38,43,36,50,55.42,0,0,"8
"
42,41,45,38,45,38,48,55.48,0,0,"8
"
42,41,45,38,45,38,48,55.42,0,0,"8
"
42,41,47,38,43,35,48,55.48,0,0,"8
"
42,38,47,39,43,35,49,55.38,0,0,"8
"
38,38,47,39,43,35,49,55.36,0,0,"8
"
38,42,51,38,41,34,48,55.4,0,0,"8
"
38,42,51,38,41,34,48,55.37,0,0,"8
"
41,42,53,38,40,36,48,55.36,0,0,"8
"
41,43,53,40,40,36,47,55.38,0,0,"8
"
41,43,53,40,40,36,47,55.32,0,0,"8
"
41,39,47,36,42,39,46,55.3,0,0,"8
"
41,39,47,36,42,39,46,55.3,0,0,"8
"
40,39,49,36,42,36,46,55.39,0,0,"8
"
40,42,49,38,42,36,49,55.38,0,0,"8
"
39,42,49,38,42,36,49,55.29,0,0,"8
"
36,39,48,41,48,38,48,78.66,0,0,"9
"
36,39,48,41,48,38,50,77.96,0,0,"9
"
36,39,48,42,48,38,50,77.32,0,0,"9
"
38,38,48,42,45,36,47,76.8,0,0,"9
"
38,38,48,42,45,36,47,76.29,0,0,"9
"
36,38,52,43,45,38,47,76,0,0,"9
"
36,38,52,43,45,38,51,75.73,0,0,"9
"
36,38,52,40,45,38,51,75.36,0,0,"9
"
34,45,52,40,48,43,51,74.69,0,0,"9
"
34,45,52,40,48,43,45,74.42,0,0,"9
"
33,45,51,40,48,40,45,74.15,0,0,"9
"
33,39,51,40,48,40,52,73.84,0,0,"9
"
33,39,51,40,48,40,52,73.63,0,0,"9
"
32,39,50,37,46,40,52,73.46,0,0,"9
"
32,39,50,37,46,40,49,73.19,0,0,"9
"
32,39,50,38,47,40,49,73.02,0,0,"9
"
34,43,51,38,47,34,47,72.88,0,0,"9
"
34,43,51,38,47,34,47,72.71,0,0,"9
"
36,43,51,39,49,40,47,72.5,0,0,"9
"
36,40,51,39,49,40,47,72.37,0,0,"9
"
36,40,51,42,50,40,47,72.2,0,0,"9
"
36,36,47,42,50,43,44,72,0,0,"9
"
36,36,47,42,50,43,44,71.77,0,0,"9
"
37,36,49,42,50,43,44,71.58,0,0,"9
"
37,41,49,42,50,43,48,71.52,0,0,"9
"
37,41,49,40,50,43,48,71.46,0,0,"9
"
36,41,49,40,49,38,50,71.25,0,0,"9
"
36,41,49,40,49,38,50,71.1,0,0,"9
"
35,41,46,40,45,37,50,71.11,0,0,"9
"
35,43,46,40,45,37,48,71.03,0,0,"9
"
35,43,46,36,45,37,48,70.96,0,0,"9
"
35,45,49,36,48,37,46,70.92,0,0,"9
"
35,45,49,36,48,37,46,70.76,0,0,"9
"
36,45,45,40,45,42,46,70.66,0,0,"9
"
36,41,45,40,45,42,47,70.62,0,0,"9
"
36,41,45,37,45,42,47,70.54,0,0,"9
"
39,44,51,37,49,40,47,70.45,0,0,"9
"
39,44,51,37,49,40,47,70.38,0,0,"9
"
38,44,46,38,45,39,47,70.25,0,0,"9
"
38,41,46,38,45,39,46,70.11,0,0,"9
"
38,41,46,36,45,39,46,70.12,0,0,"9
"
34,38,51,36,47,40,48,70.1,0,0,"9
"
34,38,51,36,47,40,48,69.97,0,0,"9
"
34,38,47,38,45,39,48,69.96,0,0,"9
"
37,38,47,38,45,39,45,69.93,0,0,"9
"
37,38,47,39,45,39,45,69.86,0,0,"9
"
38,38,51,39,47,38,45,69.73,0,0,"9
"
38,41,51,39,47,38,47,69.61,0,0,"9
"
38,41,56,39,48,38,47,69.55,0,0,"9
"
34,44,56,39,48,38,44,69.53,0,0,"9
"
34,44,56,39,48,38,44,69.5,0,0,"9
"
31,44,52,39,46,34,44,69.55,0,0,"9
"
31,45,52,39,46,34,47,69.44,0,0,"9
"
31,45,52,43,43,34,47,69.41,0,0,"9
"
32,44,51,43,43,29,46,69.3,0,0,"9
"
32,44,51,40,43,29,46,69.16,0,0,"9
"
33,44,46,40,47,40,46,69.18,0,0,"9
"
33,43,46,40,47,40,45,69.22,0,0,"9
"
33,43,46,41,47,40,45,69.14,0,0,"9
"
37,39,49,41,47,38,48,69.08,0,0,"9
"
37,39,49,36,47,38,48,69.04,0,0,"9
"
32,39,51,36,47,38,48,68.99,0,0,"9
"
32,44,51,36,47,38,47,68.89,0,0,"9
"
32,44,51,41,48,38,47,68.92,0,0,"9
"
32,34,46,41,48,35,43,68.96,0,0,"9
"
32,34,46,41,48,35,43,68.91,0,0,"9
"
41,34,54,41,47,33,43,68.88,0,0,"9
"
41,42,54,41,47,33,46,68.89,0,0,"9
"
41,42,54,40,47,33,46,68.79,0,0,"9
"
39,39,44,40,47,36,49,68.7,0,0,"9
"
39,39,44,40,47,36,49,68.67,0,0,"9
"
