Sx00cos,Sx00sin,Sx01cos,Sx01sin,Sx02cos,Sx02sin,Sx03cos,Sx03sin,Sx04cos,Sx04sin,Sx05cos,Sx05sin,Sx06cos,Sx06sin,Sx07cos,Sx07sin,Sx08cos,Sx08sin,Sx09cos,Sx09sin,r,cos,sin,z
30.6,0,25.56493945,18.57401063,9.394124188,28.91211564,-9.455908615,29.10233311,-24.91771396,18.1037988,-32.2,0,-23.6233097,-17.16331084,-9.023321647,-27.77084202,8.776054395,-27.01001424,27.02114452,-19.63205922,0.8,1,0,36
31,0,25.72674286,18.69156766,9.394124188,28.91211564,-9.51771194,29.29254443,-23.46148392,17.04578458,-31.8,0,-23.78511319,-17.28086776,-9.023321647,-27.77084202,8.899660795,-27.39043698,27.02114452,-19.63205922,0.8,1,0,36
30.8,0,26.21215311,19.04423875,9.394124188,28.91211564,-9.641318588,29.67296709,-23.62328726,17.16334172,-31.8,0,-23.78511319,-17.28086776,-9.146928793,-28.15126451,9.208676794,-28.34149382,26.85934126,-19.51450198,0.8,1,0,36
31.2,0,26.21215311,19.04423875,9.517731085,29.29253821,-9.579515264,29.48275576,-23.46148392,17.04578458,-32.6,0,-23.46150621,-17.04575392,-9.08512522,-27.96105327,9.332283194,-28.72191655,26.69753799,-19.39694473,0.8,1,0,36
31.2,0,26.37395652,19.16179578,9.579534533,29.4827495,-9.764925237,30.05338974,-23.62328726,17.16334172,-32.8,0,-23.78511319,-17.28086776,-9.08512522,-27.96105327,9.270479994,-28.53170518,26.05032495,-18.92671577,0.8,1,0,36
31.2,0,26.37395652,19.16179578,9.703141431,29.86317207,-9.641318588,29.67296709,-23.13787725,16.81067031,-32.8,0,-23.78511319,-17.28086776,-9.08512522,-27.96105327,9.208676794,-28.34149382,25.72671843,-18.69160129,0.8,1,0,36
30.4,0,26.53575994,19.27935281,9.703141431,29.86317207,-9.394105291,28.91212178,-24.27050061,17.63357026,-32.2,0,-23.78511319,-17.28086776,-9.023321647,-27.77084202,9.085070395,-27.96107108,25.88852169,-18.80915853,0.8,1,0,36
30.8,0,26.05034969,18.92668172,9.641337982,29.67296079,-9.332301967,28.72191045,-24.59410729,17.86868453,-31.8,0,-23.94691668,-17.39842469,-9.023321647,-27.77084202,9.023267195,-27.77085971,26.05032495,-18.92671577,0.8,1,0,36
30.8,0,26.21215311,19.04423875,9.517731085,29.29253821,-9.455908615,29.10233311,-24.59410729,17.86868453,-31.2,0,-23.94691668,-17.39842469,-8.837910928,-27.20020828,9.394086394,-28.91212792,25.72671843,-18.69160129,0.8,1,0,36
31.4,0,25.88854628,18.80912469,9.455927636,29.10232693,-9.394105291,28.91212178,-24.43230395,17.75112739,-31,0,-23.78511319,-17.28086776,-8.899714501,-27.39041953,9.394086394,-28.91212792,25.88852169,-18.80915853,0.8,1,0,36
31.6,0,25.56493945,18.57401063,9.332320739,28.72190435,-9.51771194,29.29254443,-24.59410729,17.86868453,-31,0,-23.94691668,-17.39842469,-9.023321647,-27.77084202,9.270479994,-28.53170518,26.37393147,-19.16183025,0.8,1,0,36
31.6,0,25.40313604,18.4564536,9.085106945,27.9610592,-9.703121912,29.86317842,-24.59410729,17.86868453,-31.2,0,-23.6233097,-17.16331084,-9.146928793,-28.15126451,9.332283194,-28.72191655,26.69753799,-19.39694473,0.8,1,0,36
31.2,0,25.56493945,18.57401063,9.146910393,28.15127049,-9.703121912,29.86317842,-24.75591062,17.98624166,-31,0,-23.46150621,-17.04575392,-9.332339511,-28.72189825,9.270479994,-28.53170518,26.85934126,-19.51450198,0.8,1,0,36
30.6,0,25.56493945,18.57401063,9.146910393,28.15127049,-9.888531885,30.4338124,-24.91771396,18.1037988,-31.2,0,-23.46150621,-17.04575392,-9.394143084,-28.9121095,9.085070395,-27.96107108,27.34475104,-19.8671737,0.8,1,0,36
29.6,0,25.72674286,18.69156766,9.023303496,27.77084792,-9.764925237,30.05338974,-24.91771396,18.1037988,-31,0,-23.29970271,-16.92819699,-9.270535938,-28.53168701,8.961463995,-27.58064834,27.18294778,-19.74961646,0.8,1,0,36
28.8,0,25.88854628,18.80912469,8.961500047,27.58063663,-9.579515264,29.48275576,-23.62328726,17.16334172,-30.4,0,-22.97609573,-16.69308314,-8.961518074,-27.58063077,8.961463995,-27.58064834,27.5065543,-19.98473094,0.8,1,0,36
29.6,0,25.56493945,18.57401063,9.146910393,28.15127049,-9.579515264,29.48275576,-23.94689394,17.39845599,-30.4,0,-22.97609573,-16.69308314,-8.899714501,-27.39041953,8.837857595,-27.20022561,27.02114452,-19.63205922,0.8,1,0,36
29.2,0,25.40313604,18.4564536,9.208713842,28.34148178,-9.51771194,29.29254443,-23.62328726,17.16334172,-31,0,-23.29970271,-16.92819699,-8.837910928,-27.20020828,8.776054395,-27.01001424,26.37393147,-19.16183025,0.8,1,0,36
29.8,0,25.56493945,18.57401063,9.146910393,28.15127049,-9.394105291,28.91212178,-23.62328726,17.16334172,-31.2,0,-23.78511319,-17.28086776,-8.652500209,-26.62957454,8.528841595,-26.24916877,26.21212821,-19.04427301,0.8,1,0,36
30,0,25.88854628,18.80912469,9.27051729,28.53169307,-9.332301967,28.72191045,-23.46148392,17.04578458,-31,0,-24.27052366,-17.63353853,-8.405285918,-25.86872955,8.652447995,-26.6295915,26.53573473,-19.27938749,0.8,1,0,36
30,0,26.21215311,19.04423875,9.27051729,28.53169307,-9.51771194,29.29254443,-24.91771396,18.1037988,-31.8,0,-24.59413064,-17.86865238,-8.776107355,-27.00999703,8.590644795,-26.43938014,26.53573473,-19.27938749,0.8,1,0,36
29.2,0,26.21215311,19.04423875,9.27051729,28.53169307,-9.51771194,29.29254443,-24.75591062,17.98624166,-31.4,0,-25.07954112,-18.22132315,-8.590696636,-26.43936329,8.714251195,-26.81980287,26.85934126,-19.51450198,0.8,1,0,36
29.2,0,26.53575994,19.27935281,9.27051729,28.53169307,-9.703121912,29.86317842,-23.13787725,16.81067031,-31.4,0,-24.75593413,-17.9862093,-8.528893063,-26.24915205,8.837857595,-27.20022561,27.34475104,-19.8671737,0.8,1,0,36
28.6,0,26.05034969,18.92668172,9.27051729,28.53169307,-9.641318588,29.67296709,-21.68164721,15.7526561,-31.2,0,-24.43232715,-17.75109546,-8.776107355,-27.00999703,8.961463995,-27.58064834,27.34475104,-19.8671737,0.8,1,0,36
28.2,0,25.88854628,18.80912469,9.27051729,28.53169307,-9.764925237,30.05338974,-22.00525389,15.98777037,-31.6,0,-23.6233097,-17.16331084,-8.961518074,-27.58063077,8.899660795,-27.39043698,27.5065543,-19.98473094,0.8,1,0,36
